ID;set;A_cost;A_payback;A_selfconsumption;A_backup;B_cost;B_payback;B_selfconsumption;B_backup;optout;Choice
20;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
20;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
20;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
20;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
21;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
21;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
21;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
21;4;1000;5;30;One socket;3000;10;90;One socket;No battery;0
21;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
21;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
21;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
21;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
22;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
22;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
22;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
22;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
22;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
22;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
22;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
22;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
23;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
23;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
23;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
23;4;1000;5;30;One socket;3000;10;90;One socket;No battery;0
23;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
23;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
23;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
23;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
24;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
24;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
24;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
24;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
24;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
24;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
24;7;1000;10;60;One socket;5000;15;30;Full house;No battery;1
24;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
25;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
25;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
25;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
25;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
25;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
25;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
25;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
25;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
26;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
26;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
26;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
26;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
26;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
26;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
26;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
26;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
27;1;1000;10;60;Full house;5000;5;90;Full house;No battery;0
27;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
27;3;7000;15;60;One socket;7000;10;30;Full house;No battery;0
27;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
27;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
27;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
27;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
27;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
28;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
28;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
28;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
28;4;1000;5;30;One socket;3000;10;90;One socket;No battery;0
28;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
28;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
28;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
28;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
29;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
29;2;3000;5;60;One socket;1000;15;90;Full house;No battery;2
29;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
29;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
29;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
29;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
29;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
29;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
30;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
30;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
30;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
30;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
30;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
30;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
30;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
30;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
31;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
31;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
31;3;7000;15;60;One socket;7000;10;30;Full house;No battery;0
31;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
31;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
31;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
31;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
31;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
32;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
32;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
32;3;7000;15;60;One socket;7000;10;30;Full house;No battery;0
32;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
32;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
32;6;7000;5;60;Full house;3000;15;60;Full house;No battery;1
32;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
32;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
